system,P@10,P@100,MAP@100,MAP@10
GE8MTD2,0.602,0.2718,0.562746626953387,0.777742151675485
ok8amxc,0.55,0.268,0.5034620418804631,0.6801150478710002
Flab8ax,0.524,0.26899999999999996,0.49055446266734626,0.6826971497858402
MITSLStd,0.508,0.2558,0.4902144321808445,0.6777335128495843
apl8c221,0.504,0.2558,0.4677859511481426,0.6630758723859914
Flab8at,0.486,0.2554,0.4676679856351021,0.623027163643235
att99ate,0.47600000000000003,0.2498,0.4390289331975762,0.5782226788863694
ric8dpn,0.45,0.22519999999999998,0.4305751317007914,0.6192694381456286
pir9Aa1,0.45,0.21280000000000002,0.42763452872233815,0.6236816546989166
Mer8Adtd2,0.444,0.2096,0.4230071782640436,0.6148121220710506
mds08a2,0.41600000000000004,0.2028,0.3948944531779254,0.5629837175610986
plt8ah2,0.332,0.14980000000000002,0.327845950092514,0.501064383345931
Dm8Nbn,0.19,0.08199999999999999,0.22707305790341872,0.32385156840513984
UB99T,0.146,0.0782,0.1923200745683538,0.2752722222222222
isa25t,0.092,0.04223076923076923,0.13670225039939138,0.1441739417989418
