topicId,Dm8Nbn,Flab8at,Flab8ax,GE8MTD2,MITSLStd,Mer8Adtd2,UB99T,apl8c221,att99ate,isa25t,mds08a2,ok8amxc,pir9Aa1,plt8ah2,ric8dpn
401,0.0,0.6,0.7222,1.0,0.5333,0.6667,0.0,0.9095,0.6071,0.0,0.0,0.0,0.0,0.0,0.0
402,0.514,0.8722,0.9889,0.9762,0.9214,0.7885,0.0,0.9594,0.8708,0.0,0.8583,0.8556,0.7345,0.7278,0.8529
403,0.6787,0.9889,1.0,1.0,0.8783,0.6798,0.52,1.0,0.9627,0.2508,0.7857,1.0,0.8412,0.7857,0.9283
404,0.2,0.1825,0.6389,0.625,0.8542,0.4683,0.1111,0.8542,0.2262,0.0,0.0,0.5954,0.8708,0.2508,0.1556
405,0.5833,0.5944,0.7986,0.7885,0.35,0.373,0.1429,0.7958,0.3873,0.0,0.3604,0.8056,0.5528,0.7917,0.4833
406,0.8333,0.7111,0.5587,0.747,0.9167,0.6349,0.0,0.5926,0.7962,0.0,0.4778,0.7486,0.7333,0.5667,0.6533
407,0.3407,0.9627,1.0,0.8774,0.787,0.8389,1.0,0.9472,1.0,0.8106,0.6676,0.9765,0.62,0.7708,0.625
408,0.2,0.9167,0.7875,0.8976,0.95,0.7153,0.0,0.5167,0.5833,0.5926,0.7333,0.7438,0.9267,0.7117,0.8542
409,0.8333,0.625,0.6429,1.0,0.5048,0.7222,0.1111,0.9167,1.0,0.0,0.6111,0.7778,0.8333,0.6,0.4167
410,0.5422,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9627
411,0.2,0.8111,0.9094,0.9861,0.8444,0.6587,0.125,0.9478,0.8264,0.0,0.5571,0.8274,0.9484,0.6389,0.6792
412,0.0,0.9889,0.0,1.0,0.8951,0.9571,0.225,0.5,0.9627,0.0,0.25,0.5259,0.7556,0.0,0.6203
413,0.6593,0.7095,0.9107,0.7552,0.3798,0.6111,0.0,0.9094,0.1111,0.0,0.7962,0.9283,0.9683,0.622,0.0
414,0.125,0.5,0.725,0.9889,0.6792,0.7361,0.0,0.8333,0.7679,0.0,0.5,0.6389,0.4333,0.575,0.3869
415,1.0,1.0,1.0,0.916,0.9765,0.906,0.6679,1.0,1.0,0.1,0.8783,1.0,0.7296,1.0,0.9627
416,0.2429,0.2508,0.3604,0.3715,0.3877,0.3056,0.273,0.5271,0.3206,0.0,0.6079,0.6595,0.7167,0.7593,0.6179
417,0.0,0.9333,0.0,0.0,0.8417,0.9861,0.4167,0.8957,0.0,0.0,0.5,0.8218,0.9167,0.5,0.8644
418,0.622,1.0,1.0,1.0,0.8802,0.9444,0.0,0.9294,0.9415,0.0,0.9765,0.8917,0.8339,0.8632,0.9484
419,0.3333,0.2,0.5167,0.4429,0.5074,0.3333,0.6,1.0,0.2,0.0,0.273,0.625,0.6,0.2296,0.7
420,0.5,0.9765,0.9889,0.4016,0.9765,0.8083,0.2619,0.8755,0.8783,0.6556,0.8417,1.0,0.906,0.8107,0.9889
421,0.0,0.1429,0.25,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.2667,0.7,0.7667
422,0.0,1.0,0.9627,1.0,0.6746,0.7143,0.5,0.3694,0.545,0.0,0.4411,0.9627,0.0,0.0,0.9594
423,0.625,0.8783,0.906,0.9889,0.9468,0.833,0.8125,0.9283,0.8412,0.2361,0.8412,0.9318,0.8644,0.8306,0.9627
424,0.0,0.75,0.744,0.9889,0.3917,0.5845,0.1429,0.6644,0.3771,0.0,0.125,0.7958,0.575,0.1667,0.2429
425,0.7481,1.0,1.0,1.0,1.0,0.8951,0.75,0.744,1.0,1.0,0.9627,1.0,0.6913,0.906,0.7568
426,0.5,0.318,0.8968,0.906,0.25,0.2389,0.2679,0.2421,0.0,0.125,0.2111,0.2111,0.8529,0.0,1.0
