topicId,Topic ID,Dm8Nbn,Flab8at,Flab8ax,GE8MTD2,MITSLStd,Mer8Adtd2,UB99T,apl8c221,att99ate,isa25t,mds08a2,ok8amxc,pir9Aa1,plt8ah2,ric8dpn
401,401,0.0,0.2,0.3,1.0,0.3,0.2,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0
402,402,0.6,0.6,0.9,0.6,0.7,0.6,0.0,0.8,0.6,0.0,0.5,0.6,0.6,0.5,0.5
403,403,0.6,0.9,1.0,1.0,0.9,0.7,0.5,1.0,0.9,0.3,0.9,1.0,0.9,0.9,0.9
404,404,0.1,0.2,0.3,0.4,0.4,0.4,0.1,0.4,0.2,0.0,0.0,0.6,0.6,0.3,0.2
405,405,0.2,0.5,0.4,0.6,0.2,0.3,0.1,0.6,0.3,0.0,0.4,0.3,0.4,0.3,0.4
406,406,0.2,0.5,0.5,0.4,0.4,0.4,0.0,0.6,0.5,0.0,0.3,0.6,0.4,0.4,0.5
407,407,0.3,0.9,1.0,0.6,0.7,0.8,0.1,0.8,0.9,0.8,0.5,0.9,0.5,0.4,0.3
408,408,0.1,0.3,0.4,0.7,0.4,0.4,0.0,0.3,0.2,0.6,0.4,0.6,0.5,0.5,0.4
409,409,0.2,0.2,0.2,0.4,0.4,0.3,0.1,0.3,0.1,0.0,0.2,0.3,0.3,0.2,0.2
410,410,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9
411,411,0.1,0.5,0.7,0.8,0.5,0.5,0.1,0.7,0.6,0.0,0.4,0.7,0.6,0.3,0.4
412,412,0.0,0.9,0.0,1.0,0.8,0.7,0.2,0.1,0.9,0.0,0.1,0.6,0.3,0.0,0.7
413,413,0.5,0.4,0.6,0.6,0.4,0.2,0.0,0.7,0.1,0.0,0.5,0.9,0.7,0.4,0.0
414,414,0.1,0.5,0.4,0.9,0.4,0.4,0.0,0.2,0.4,0.0,0.3,0.3,0.3,0.4,0.3
415,415,0.3,1.0,1.0,0.8,0.9,0.9,0.4,1.0,1.0,0.1,0.9,1.0,0.7,1.0,0.9
416,416,0.2,0.3,0.4,0.4,0.5,0.3,0.3,0.4,0.3,0.0,0.5,0.5,0.5,0.5,0.4
417,417,0.0,0.6,0.0,0.0,0.6,0.8,0.2,0.8,0.0,0.0,0.1,0.6,0.3,0.1,0.8
418,418,0.4,0.6,0.7,0.7,0.7,0.6,0.0,0.8,0.8,0.0,0.9,0.7,0.8,0.7,0.6
419,419,0.1,0.1,0.3,0.3,0.3,0.1,0.2,0.1,0.1,0.0,0.3,0.2,0.2,0.3,0.2
420,420,0.1,0.9,0.9,0.4,0.9,0.7,0.3,0.8,0.9,0.3,0.6,1.0,0.9,0.6,0.9
421,421,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3
422,422,0.0,0.9,0.9,0.6,0.5,0.7,0.1,0.3,0.5,0.0,0.5,0.9,0.0,0.0,0.8
423,423,0.2,0.9,0.9,0.9,0.9,0.7,0.4,0.9,0.9,0.2,0.9,0.8,0.8,0.6,0.9
424,424,0.0,0.4,0.6,0.9,0.4,0.4,0.1,0.5,0.4,0.0,0.1,0.6,0.4,0.1,0.2
425,425,0.8,1.0,1.0,1.0,1.0,0.8,0.2,0.7,1.0,0.1,0.9,1.0,0.6,0.9,0.7
426,426,0.1,0.4,0.6,0.9,0.1,0.3,0.2,0.3,0.0,0.1,0.2,0.2,0.5,0.0,0.1
427,427,0.1,0.4,0.4,0.9,0.7,0.3,0.0,0.4,0.4,0.0,0.5,0.6,0.5,0.4,0.5
428,428,0.1,0.4,0.5,0.7,0.5,0.1,0.0,0.5,0.2,0.1,0.3,0.3,0.4,0.1,0.2
429,429,0.3,0.2,0.2,0.4,0.3,0.4,0.2,0.1,0.3,0.0,0.4,0.4,0.3,0.0,0.4
430,430,0.3,0.4,0.3,0.5,0.4,0.4,0.1,0.3,0.3,0.0,0.3,0.3,0.4,0.3,0.3
431,431,0.5,1.0,0.8,0.8,0.9,0.9,0.8,0.8,0.9,0.2,0.9,0.9,0.5,1.0,0.7
432,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
433,433,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.2,0.0,0.2,0.1,0.3,0.0,0.3
434,434,0.0,0.7,1.0,0.8,0.9,0.8,0.1,0.6,0.6,0.1,0.9,0.9,0.7,0.8,1.0
435,435,0.1,0.2,0.3,0.4,0.2,0.2,0.5,0.8,0.6,0.0,0.3,0.3,0.4,0.3,0.3
436,436,0.0,0.5,0.6,1.0,0.5,0.4,0.0,0.4,0.8,0.1,0.2,0.0,0.3,0.1,0.4
437,437,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0
438,438,0.0,0.0,0.2,0.4,0.8,0.6,0.4,0.2,0.3,0.0,0.6,0.6,0.1,0.2,0.6
439,439,1.0,0.1,0.2,0.4,0.1,0.2,0.0,0.0,0.2,0.0,0.1,0.2,0.3,0.2,0.1
440,440,0.0,0.1,0.5,0.8,0.3,0.2,0.3,0.4,0.7,0.1,0.0,0.7,0.5,0.0,0.7
441,441,0.4,0.8,0.8,0.8,0.8,0.7,0.1,0.7,0.7,0.5,0.7,0.6,0.7,0.7,0.7
442,442,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.2,0.0,0.0,0.1,0.2,0.1,0.1,0.3
443,443,0.0,0.6,0.4,0.5,0.5,0.1,0.2,0.1,0.5,0.2,0.2,0.6,0.5,0.3,0.3
444,444,0.1,0.9,0.9,0.7,1.0,0.9,0.1,1.0,0.9,0.0,0.8,0.9,0.9,0.0,0.9
445,445,0.0,0.8,0.8,0.9,0.8,0.3,0.5,0.7,0.8,0.2,0.7,0.6,0.3,0.5,0.6
446,446,0.0,0.9,0.6,0.9,0.5,0.7,0.0,0.8,0.9,0.0,0.4,0.8,0.2,0.0,0.0
447,447,0.0,0.1,1.0,0.0,0.4,0.0,0.0,0.9,0.0,0.0,0.5,0.5,0.7,0.4,0.5
448,448,0.0,0.0,0.1,0.3,0.1,0.3,0.1,0.0,0.0,0.0,0.1,0.4,0.1,0.1,0.1
449,449,0.1,0.3,0.5,0.5,0.2,0.4,0.1,0.5,0.5,0.0,0.2,0.4,0.3,0.5,0.4
450,450,0.7,1.0,0.8,1.0,0.7,0.8,0.1,1.0,1.0,0.6,0.9,0.9,0.8,1.0,0.7
