topicId,Dm8Nbn,Flab8at,Flab8ax,GE8MTD2,MITSLStd,Mer8Adtd2,UB99T,apl8c221,att99ate,isa25t,mds08a2,ok8amxc,pir9Aa1,plt8ah2,ric8dpn
401,0.04,0.14,0.1,0.82,0.2,0.11,0.03,0.49,0.32,0.03,0.03,0.05,0.05,0.01,0.0
402,0.19,0.24,0.36,0.31,0.23,0.2,0.06,0.36,0.23,0.06,0.22,0.31,0.31,0.19,0.25
403,0.18,0.21,0.21,0.2,0.21,0.19,0.11,0.21,0.21,0.26153846153846155,0.2,0.2,0.2,0.18,0.18
404,0.04,0.23,0.25,0.24,0.27,0.28,0.13,0.29,0.26,0.0,0.3,0.29,0.3,0.3,0.28
405,0.05,0.13,0.19,0.22,0.12,0.14,0.06,0.25,0.17,0.0,0.12,0.15,0.12,0.09,0.14
406,0.02,0.13,0.11,0.1,0.12,0.09,0.01,0.13,0.12,0.0,0.13,0.12,0.1,0.08,0.13
407,0.1,0.35,0.39,0.22,0.29,0.23,0.07,0.3,0.44,0.12,0.24,0.33,0.25,0.18,0.29
408,0.16,0.39,0.43,0.31,0.42,0.36,0.07,0.44,0.33,0.25,0.36,0.39,0.42,0.27,0.38
409,0.04,0.11,0.1,0.12,0.09,0.1,0.04,0.11,0.07,0.0,0.1,0.1,0.09,0.11,0.1
410,0.17,0.6,0.6,0.51,0.62,0.58,0.01,0.57,0.6,0.0,0.59,0.59,0.45,0.03,0.61
411,0.02,0.11,0.15,0.12,0.13,0.11,0.03,0.19,0.11,0.0,0.1,0.12,0.12,0.1,0.11
412,0.03,0.45,0.34,0.32,0.36,0.25,0.06,0.17,0.54,0.02,0.09,0.3,0.19,0.0,0.46
413,0.17,0.18,0.34,0.26,0.13,0.1,0.09,0.37,0.07,0.0,0.2,0.31,0.24,0.14,0.12
414,0.05,0.22,0.24,0.31,0.17,0.19,0.1,0.14,0.22,0.0,0.18,0.19,0.19,0.15,0.21
415,0.22,0.55,0.54,0.83,0.51,0.49,0.26,0.54,0.67,0.1,0.54,0.62,0.47,0.5,0.52
416,0.06,0.27,0.29,0.24,0.28,0.24,0.11,0.28,0.27,0.0,0.28,0.26,0.32,0.26,0.26
417,0.01,0.18,0.0,0.1,0.23,0.33,0.09,0.31,0.01,0.02,0.07,0.26,0.14,0.02,0.3
418,0.06,0.41,0.44,0.38,0.46,0.44,0.02,0.44,0.47,0.0,0.34,0.52,0.4,0.21,0.44
419,0.03,0.03,0.1,0.09,0.08,0.02,0.06,0.08,0.07,0.0,0.08,0.08,0.11,0.06,0.09
420,0.02,0.21,0.2,0.19,0.22,0.18,0.04,0.2,0.2,0.05,0.17,0.23,0.21,0.15,0.15
421,0.01,0.05,0.02,0.08,0.06,0.05,0.03,0.07,0.13,0.02,0.05,0.1,0.06,0.05,0.14
422,0.01,0.7,0.65,0.22,0.49,0.4,0.04,0.44,0.3,0.0,0.32,0.51,0.33,0.15,0.15
423,0.07,0.15,0.17,0.14,0.18,0.15,0.1,0.17,0.15,0.05,0.19,0.16,0.2,0.18,0.2
424,0.07,0.22,0.45,0.39,0.44,0.36,0.14,0.41,0.18,0.06,0.08,0.41,0.43,0.02,0.34
425,0.21,0.62,0.58,0.61,0.64,0.46,0.11,0.45,0.57,0.01,0.53,0.65,0.4,0.49,0.46
426,0.03,0.19,0.33,0.57,0.18,0.09,0.03,0.08,0.05,0.11,0.11,0.18,0.29,0.03,0.12
427,0.06,0.2,0.22,0.31,0.25,0.19,0.06,0.31,0.22,0.0,0.21,0.32,0.23,0.2,0.2
428,0.02,0.41,0.43,0.33,0.38,0.27,0.01,0.44,0.39,0.09,0.33,0.41,0.35,0.14,0.38
429,0.05,0.11,0.11,0.08,0.11,0.11,0.03,0.11,0.11,0.01,0.11,0.11,0.11,0.0,0.11
430,0.05,0.06,0.06,0.06,0.06,0.06,0.01,0.06,0.06,0.01,0.06,0.06,0.06,0.06,0.06
431,0.22,0.58,0.58,0.57,0.46,0.64,0.3,0.51,0.56,0.02,0.55,0.45,0.38,0.55,0.36
432,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.01,0.0,0.0,0.02,0.1,0.02,0.0,0.03
433,0.0,0.04,0.06,0.04,0.06,0.03,0.0,0.04,0.05,0.0,0.03,0.04,0.06,0.03,0.06
434,0.18,0.74,0.82,0.56,0.75,0.53,0.26,0.4,0.54,0.01,0.58,0.81,0.37,0.55,0.76
435,0.07,0.29,0.32,0.32,0.14,0.15,0.19,0.39,0.37,0.04,0.08,0.31,0.18,0.08,0.24
436,0.05,0.26,0.36,0.41,0.28,0.14,0.07,0.17,0.33,0.23,0.12,0.33,0.21,0.08,0.28
437,0.04,0.05,0.05,0.12,0.09,0.09,0.08,0.0,0.08,0.02,0.08,0.02,0.05,0.06,0.07
438,0.01,0.27,0.1,0.42,0.42,0.32,0.24,0.22,0.29,0.05,0.27,0.42,0.11,0.17,0.34
439,0.27,0.09,0.09,0.22,0.11,0.1,0.02,0.05,0.05,0.02,0.06,0.06,0.08,0.04,0.06
440,0.05,0.26,0.28,0.12,0.14,0.06,0.06,0.27,0.3,0.01,0.1,0.25,0.24,0.04,0.33
441,0.1,0.16,0.13,0.11,0.17,0.12,0.02,0.14,0.16,0.11,0.17,0.15,0.17,0.15,0.17
442,0.0,0.02,0.07,0.01,0.06,0.07,0.0,0.1,0.01,0.0,0.07,0.09,0.03,0.02,0.06
443,0.03,0.24,0.17,0.22,0.38,0.16,0.21,0.12,0.2,0.03,0.16,0.15,0.13,0.17,0.13
444,0.02,0.14,0.13,0.1,0.16,0.14,0.01,0.16,0.15,0.0,0.17,0.15,0.15,0.01,0.16
445,0.06,0.21,0.19,0.32,0.19,0.17,0.1,0.18,0.27,0.04,0.19,0.21,0.16,0.09,0.17
446,0.08,0.54,0.61,0.53,0.42,0.27,0.02,0.44,0.59,0.0,0.15,0.45,0.2,0.06,0.0
447,0.01,0.12,0.15,0.03,0.14,0.03,0.0,0.12,0.12,0.0,0.16,0.16,0.16,0.13,0.16
448,0.01,0.02,0.13,0.06,0.05,0.05,0.02,0.08,0.0,0.01,0.02,0.1,0.04,0.03,0.03
449,0.04,0.14,0.15,0.14,0.1,0.13,0.02,0.17,0.15,0.0,0.14,0.14,0.13,0.15,0.11
450,0.62,0.75,0.66,0.6,0.73,0.49,0.28,0.81,0.73,0.25,0.69,0.68,0.63,0.73,0.56
